id,recipe_name,ingredients,dietary_tags,meal_type,cuisine_type,instructions,allergens,id
129,Taco Salad,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","low-carb, high-protein, vegetarian",lunch,Asian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces.",Gluten,129
130,Chicken Caesar Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",paleo,dinner,Italian,"Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later.",Eggs,130
131,Chicken Caesar Salad,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","vegan, vegetarian, gluten-free",dinner,Mediterranean,"Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy,131
132,Beef Stir Fry,"Banana, Whey protein, Almond milk, Peanut butter","vegan, keto-friendly, gluten-free",dinner,Mexican,"Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth.",Eggs,132
133,Shrimp Pasta,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","low-carb, dairy-free, keto-friendly",breakfast,Asian,"In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth.",Gluten,133
134,Avocado Toast,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","paleo, low-carb, vegan",snack,Asian,"Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool.",Dairy,134
135,Vegetarian Chili,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","vegetarian, high-protein",snack,Mediterranean,"Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Eggs,135
136,Shrimp Pasta,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","keto-friendly, vegetarian",snack,American,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,136
137,Vegan Buddha Bowl,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",vegetarian,snack,Asian,"Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later.",Eggs,137
138,Protein Smoothie,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegan, high-protein, dairy-free",snack,Asian,"Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later.",Dairy,138
139,Taco Salad,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",high-protein,lunch,Mexican,"Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth.",,139
140,Avocado Toast,"Banana, Whey protein, Almond milk, Peanut butter",keto-friendly,lunch,Italian,"Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",Gluten,140
141,Vegan Buddha Bowl,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","vegan, paleo, vegetarian",snack,Indian,"Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs,141
142,Vegetarian Chili,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","paleo, dairy-free",lunch,Asian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing.",Gluten,142
143,Shrimp Pasta,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","keto-friendly, gluten-free, paleo",dinner,Mexican,"Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing.",,143
144,Avocado Toast,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","vegetarian, keto-friendly, dairy-free",breakfast,Mediterranean,"Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth.",,144
145,Shrimp Pasta,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","gluten-free, vegetarian, vegan",snack,Mexican,"Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces.",Dairy,145
146,Beef Stir Fry,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","gluten-free, low-carb, paleo",snack,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes.",Eggs,146
147,Lentil Soup,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","high-protein, dairy-free",lunch,Asian,"Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces.",Eggs,147
148,Protein Smoothie,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","paleo, dairy-free, gluten-free",snack,Mediterranean,"Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs,148
149,Protein Smoothie,"Banana, Whey protein, Almond milk, Peanut butter","vegetarian, low-carb, vegan",breakfast,Asian,"Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor.",Peanuts,149
150,Vegan Buddha Bowl,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","high-protein, vegan, dairy-free",breakfast,Asian,Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later.,Eggs,150
151,Beef Stir Fry,"Banana, Whey protein, Almond milk, Peanut butter","vegan, paleo, keto-friendly",breakfast,Mexican,"In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes.",Eggs,151
152,Shrimp Pasta,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",high-protein,lunch,Italian,Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing.,Gluten,152
153,Chicken Caesar Salad,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","high-protein, gluten-free, vegan",breakfast,Italian,Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes.,,153
154,Gluten-Free Pancakes,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","keto-friendly, dairy-free, paleo",breakfast,Italian,"Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth.",Eggs,154
155,Vegan Buddha Bowl,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","vegan, keto-friendly, paleo",lunch,Indian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later.",,155
156,Lentil Soup,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",paleo,snack,Indian,"Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool.",Dairy,156
157,Gluten-Free Pancakes,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegan, gluten-free",lunch,Mediterranean,Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces.,Dairy,157
158,Beef Stir Fry,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",low-carb,snack,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing.",Dairy,158
159,Beef Stir Fry,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","gluten-free, low-carb, paleo",snack,Asian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later.",Gluten,159
160,Gluten-Free Pancakes,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","high-protein, vegetarian, paleo",lunch,Mediterranean,Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces.,Peanuts,160
161,Beef Stir Fry,"Lentils, Carrots, Celery, Garlic, Vegetable broth","dairy-free, vegan",breakfast,American,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden.",Gluten,161
162,Taco Salad,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",vegetarian,dinner,Indian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes.",Gluten,162
163,Vegetarian Chili,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",high-protein,snack,Mexican,"Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool.",Eggs,163
164,Vegan Buddha Bowl,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",dairy-free,breakfast,Asian,"Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor.",Peanuts,164
165,Chicken Caesar Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",paleo,breakfast,Italian,"In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor.",Gluten,165
166,Gluten-Free Pancakes,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",keto-friendly,breakfast,Asian,"Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing.",Dairy,166
167,Gluten-Free Pancakes,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","high-protein, low-carb, vegan",breakfast,Indian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs,167
168,Gluten-Free Pancakes,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","vegetarian, low-carb",dinner,Italian,"Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later.",Eggs,168
169,Gluten-Free Pancakes,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","gluten-free, vegan, vegetarian",snack,Asian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Gluten,169
170,Chicken Caesar Salad,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","keto-friendly, vegetarian, dairy-free",breakfast,Indian,"In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes.",Gluten,170
171,Vegan Buddha Bowl,"Lentils, Carrots, Celery, Garlic, Vegetable broth","vegan, high-protein",lunch,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Gluten,171
172,Avocado Toast,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","vegan, low-carb",lunch,Mexican,Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing.,Eggs,172
173,Lentil Soup,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",gluten-free,snack,Mediterranean,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden.",Gluten,173
174,Taco Salad,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","high-protein, vegetarian",lunch,American,"Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,174
175,Vegan Buddha Bowl,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","gluten-free, dairy-free, vegetarian",dinner,American,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth.",Gluten,175
176,Lentil Soup,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","vegan, paleo",dinner,American,"Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool.",,176
177,Shrimp Pasta,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","dairy-free, low-carb",lunch,Mediterranean,"Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool.",Peanuts,177
178,Gluten-Free Pancakes,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","dairy-free, gluten-free, paleo",lunch,Mexican,"Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,178
179,Shrimp Pasta,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","vegan, paleo, keto-friendly",dinner,Indian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces.",Peanuts,179
180,Avocado Toast,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","low-carb, vegetarian, keto-friendly",dinner,Italian,"Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden.",Eggs,180
181,Taco Salad,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","vegan, high-protein",breakfast,Italian,"Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden.",Gluten,181
182,Vegan Buddha Bowl,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",dairy-free,breakfast,American,"Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces.",Dairy,182
183,Protein Smoothie,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","low-carb, dairy-free",snack,American,"Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",,183
184,Vegetarian Chili,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","high-protein, vegetarian",dinner,American,"Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden.",Dairy,184
185,Beef Stir Fry,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","vegetarian, keto-friendly, high-protein",lunch,Asian,"Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Dairy,185
186,Protein Smoothie,"Banana, Whey protein, Almond milk, Peanut butter",paleo,snack,Mediterranean,"Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes.",,186
187,Gluten-Free Pancakes,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",vegetarian,lunch,Mediterranean,"Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes.",Peanuts,187
188,Vegan Buddha Bowl,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons",keto-friendly,snack,American,"Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool.",Gluten,188
189,Vegan Buddha Bowl,"Banana, Whey protein, Almond milk, Peanut butter","low-carb, keto-friendly",snack,Asian,"Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Dairy,189
190,Gluten-Free Pancakes,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","gluten-free, keto-friendly, high-protein",dinner,Italian,"In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing.",Dairy,190
191,Beef Stir Fry,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","high-protein, gluten-free",breakfast,Indian,"Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes.",Dairy,191
192,Beef Stir Fry,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","vegan, keto-friendly, high-protein",lunch,Italian,"Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",,192
193,Vegan Buddha Bowl,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","dairy-free, gluten-free",dinner,Mexican,"In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces.",Gluten,193
194,Beef Stir Fry,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",vegan,dinner,American,"Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth.",Gluten,194
195,Taco Salad,"Banana, Whey protein, Almond milk, Peanut butter","low-carb, keto-friendly, paleo",lunch,Asian,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,195
196,Beef Stir Fry,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","paleo, high-protein, vegan",lunch,Indian,"Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth.",Peanuts,196
197,Shrimp Pasta,"Banana, Whey protein, Almond milk, Peanut butter","vegetarian, high-protein",snack,Asian,"Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later.",,197
198,Gluten-Free Pancakes,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",keto-friendly,breakfast,Mediterranean,"Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy,198
199,Avocado Toast,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","keto-friendly, high-protein",lunch,Italian,"Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later.",Gluten,199
200,Gluten-Free Pancakes,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",dairy-free,breakfast,Mexican,"Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes.",Peanuts,200
201,Taco Salad,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",vegetarian,snack,Mediterranean,"Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth.",Eggs,201
202,Gluten-Free Pancakes,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","vegan, keto-friendly, high-protein",snack,Indian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later.",Gluten,202
